FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=67, fi_cycle=47, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=4, opcode=call
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=65, fi_cycle=116, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=4, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=78, fi_cycle=160, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=22, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=44, fi_cycle=20, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=14, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2, fi_cycle=41, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=46, opcode=alloca
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=77, fi_cycle=90, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=29, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2, fi_cycle=41, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=19, opcode=alloca
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=209, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=29, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=193, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=2, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=62, fi_cycle=36, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=13, opcode=fsub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=221, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=28, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=167, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=14, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=200, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=192, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=144, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=24, fi_cycle=10, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=9, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=78, fi_cycle=166, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=7, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=45, fi_cycle=21, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=21, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=78, fi_cycle=226, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=27, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=151, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=25, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=140, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=58, fi_cycle=110, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=20, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=162, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=93, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=44, fi_cycle=59, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=7, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=180, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=70, fi_cycle=89, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=fcmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=61, fi_cycle=113, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=28, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=42, fi_cycle=18, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=27, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=5, fi_cycle=121, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=fcmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=163, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=20, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=77, fi_cycle=207, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=5, opcode=load
